"last.name","first.name","state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label"
"Ackerman","Gary","NY","5","D","M","A000022","15080",20,-1.15935466180226,-1.32732185126967,-0.984674139564678,"Ackerman (D NY-5)"
"Adams","Sandra","FL","24","R","F","A000366",NA,4,0.986753314681516,0.836243189722576,1.11765810282991,"Adams (R FL-24)"
"Aderholt","Robert","AL","4","R","M","A000055","29701",9,0.726355288948545,0.593448498861013,0.844309242165069,"Aderholt (R AL-4)"
"Akin","Todd","MO","2","R","M","A000358","20123",27,0.981890294346048,0.844332598310221,1.12386630068186,"Akin (R MO-2)"
"Alexander","Rodney","LA","5","R","M","A000361","20327",16,0.614509085689729,0.492139574068725,0.735274639124706,"Alexander (R LA-5)"
"Altmire","Jason","PA","4","D","M","A000362","20743",4,-0.0929796233074392,-0.19108931412006,-0.011562537326639,"Altmire (D PA-4)"
"Amash","Justin","MI","3","R","M","A000367",NA,29,0.820103699549475,0.693203520206737,0.939520926374483,"Amash (R MI-3)"
"Andrews","Robert","NJ","1","D","M","A000210","15802",29,-1.00535240704136,-1.15282032385007,-0.852532387904537,"Andrews (D NJ-1)"
"Austria","Steve","OH","7","R","M","A000365",NA,12,0.692094507707197,0.565189446815011,0.808411407074287,"Austria (R OH-7)"
"Baca","Joe","CA","43","D","M","B001234","29942",47,-0.813782742156541,-0.941425631235751,-0.681308541888935,"Baca (D CA-43)"
"Bachmann","Michele","MN","6","R","F","B001256","20728",108,0.930899417070183,0.788847255375737,1.08364108168169,"Bachmann (R MN-6)"
"Bachus","Spencer","AL","6","R","M","B000013","29301",18,0.708923836959077,0.574899518403586,0.825495657058081,"Bachus (R AL-6)"
"Baldwin","Tammy","WI","2","D","F","B001230","29940",7,-1.73046684481889,-1.99922245060258,-1.42702613151882,"Baldwin (D WI-2)"
"Barletta","Lou","PA","11","R","M","B001269",NA,9,0.521265860689089,0.405214331063219,0.635732185806351,"Barletta (R PA-11)"
"Barrow","John","GA","12","D","M","B001252","20507",7,-0.322522868614396,-0.420641716960046,-0.231122647772529,"Barrow (D GA-12)"
"Bartlett","Roscoe","MD","6","R","M","B000208","29356",9,0.683439517043383,0.569508631671316,0.800310152743041,"Bartlett (R MD-6)"
"Barton","Joe","TX","6","R","M","B000213","15202",46,0.879642944351813,0.745997191514032,1.00481084281506,"Barton (R TX-6)"
"Bass","Karen","CA","33","D","F","B001270",NA,23,-1.70500623375251,-2.00701693166183,-1.44505127831681,"Bass (D CA-33)"
"Bass","Charles","NH","2","R","M","B000220","29538",14,0.319363525145404,0.217371675103917,0.415632714494546,"Bass (R NH-2)"
"Becerra","Xavier","CA","31","D","M","B000287","29316",22,-1.39546229576613,-1.60374503733295,-1.15713874719584,"Becerra (D CA-31)"
"Benishek","Dan","MI","1","R","M","B001271",NA,6,1.09790001403877,0.938376224105141,1.24383276968952,"Benishek (R MI-1)"
"Berg","Rick","ND","1","R","M","B001272",NA,29,0.710775476897197,0.581031869416014,0.836965032353793,"Berg (R ND-1)"
"Berkley","Shelley","NV","1","D","F","B001231","29922",23,-0.845087140942196,-0.984109602520525,-0.720973740490421,"Berkley (D NV-1)"
"Berman","Howard","CA","28","D","M","B000410","15004",21,-1.10838374493953,-1.27505017656346,-0.95441111539679,"Berman (D CA-28)"
"Biggert","Judy","IL","13","R","F","B001232","29912",6,0.401215308072899,0.29755272390829,0.511197975351409,"Biggert (R IL-13)"
"Bilbray","Brian","CA","50","R","M","B000461","29508",45,0.583978803537149,0.470906337344756,0.703204210695881,"Bilbray (R CA-50)"
"Bilirakis","Gus","FL","9","R","M","B001257",NA,24,0.676914072505078,0.549036360164323,0.801145506286291,"Bilirakis (R FL-9)"
"Bishop","Timothy","NY","1","D","M","B001242","20338",21,-1.06570009759899,-1.22716817158896,-0.909986367258497,"Bishop (D NY-1)"
"Bishop","Rob","UT","1","R","M","B001250","20357",27,1.00318579282937,0.850592000679631,1.13303962667186,"Bishop (R UT-1)"
"Bishop Jr.","Sanford","GA","2","D","M","B000490","29339",44,-0.52991005017583,-0.640157507533722,-0.421818389690307,"Bishop Jr. (D GA-2)"
"Black","Diane","TN","6","R","M","B001273",NA,26,1.0652680704096,0.92718715229771,1.22980833675237,"Black (R TN-6)"
"Blackburn","Marsha","TN","7","R","F","B001243","20351",10,1.20626987958912,1.0292309280838,1.36677362267648,"Blackburn (R TN-7)"
"Blumenauer","Earl","OR","3","D","M","B000574","29588",47,-1.1429541895532,-1.31502608848424,-0.976805811206321,"Blumenauer (D OR-3)"
"Boehner","John","OH","8","R","M","B000589","15806",689,1.22431593635897,-0.0701985455303929,2.73570704888528,"Boehner (R OH-8)"
"Bonner","Jo","AL","1","R","M","B001244","20300",11,0.653389042525,0.528903908568229,0.774410370985755,"Bonner (R AL-1)"
"Bono Mack","Mary","CA","45","R","F","B001228","29775",16,0.760130242040986,0.630880010542061,0.884318747777132,"Bono Mack (R CA-45)"
"Boren","Dan","OK","2","D","M","B001254","20523",17,-0.00724477731736202,-0.102051180351103,0.0730572684746617,"Boren (D OK-2)"
"Boswell","Leonard","IA","3","D","M","B000652","29721",13,-0.572440285221023,-0.684928703813465,-0.471475064184014,"Boswell (D IA-3)"
"Boustany Jr.","Charles","LA","7","R","M","B001255","20514",36,0.819589102980325,0.682050208149647,0.942494610286146,"Boustany Jr. (R LA-7)"
"Brady","Robert","PA","1","D","M","B001227","29777",17,-1.07805407753975,-1.23318565575182,-0.910157869573169,"Brady (D PA-1)"
"Brady","Kevin","TX","8","R","M","B000755","29760",25,1.31012828995323,1.10598006013331,1.49339799395716,"Brady (R TX-8)"
"Braley","Bruce","IA","1","D","M","B001259","20719",46,-1.05087619231872,-1.19758012219129,-0.878185618043848,"Braley (D IA-1)"
"Brooks","Mo","AL","5","R","M","B001274",NA,12,0.906983783117246,0.765880814428246,1.03090544702213,"Brooks (R AL-5)"
"Broun","Paul","GA","10","R","M","B001262","20753",25,1.25837929456186,1.08789562504688,1.44757492100409,"Broun (R GA-10)"
"Brown","Corrine","FL","3","D","F","B000911","29328",18,-1.03924554472707,-1.18753899015559,-0.876249762565554,"Brown (D FL-3)"
"Buchanan","Vern","FL","13","R","M","B001260","20709",22,0.675133546712686,0.548580207928493,0.796968915340168,"Buchanan (R FL-13)"
"Bucshon","Larry","IN","8","R","M","B001275",NA,6,0.756525845658757,0.629283813066524,0.879589148504431,"Bucshon (R IN-8)"
"Buerkle","Ann Marie","NY","25","R","F","B001276",NA,7,1.05001932804897,0.893905020517562,1.1911343150023,"Buerkle (R NY-25)"
"Burgess","Michael","TX","26","R","M","B001248","20355",11,0.868093949620832,0.727760725860679,0.99018389233847,"Burgess (R TX-26)"
"Burton","Dan","IN","5","R","M","B001149","15013",48,1.28755332646011,1.10204850302705,1.48237286265954,"Burton (R IN-5)"
"Butterfield","G.","NC","1","D","M","B001251","20340",47,-0.974976396408598,-1.12171479116314,-0.825322664897092,"Butterfield (D NC-1)"
"Calvert","Ken","CA","44","R","M","C000059","29323",7,0.705900577289343,0.577174704136928,0.82160203613145,"Calvert (R CA-44)"
"Camp","Dave","MI","4","R","M","C000071","15808",11,0.680118684251114,0.551175527612542,0.801995846945184,"Camp (R MI-4)"
"Campbell","John","CA","48","R","M","C001064","20539",46,0.910968744964365,0.773002512625343,1.04211887188781,"Campbell (R CA-48)"
"Canseco","Francisco","TX","23","R","M","C001082",NA,8,1.10865198110727,0.957973182128331,1.27135726312646,"Canseco (R TX-23)"
"Cantor","Eric","VA","7","R","M","C001046","20144",64,0.962439029549629,0.810324358654927,1.0968801168936,"Cantor (R VA-7)"
"Capito","Shelley","WV","2","R","F","C001047","20146",6,0.509507957958344,0.391036349429152,0.621696832960507,"Capito (R WV-2)"
"Capps","Lois","CA","23","D","F","C001036","29774",13,-1.32631844691845,-1.53029016842103,-1.12192489240523,"Capps (D CA-23)"
"Capuano","Michael","MA","8","D","M","C001037","29919",24,-1.56197095367195,-1.81078783128093,-1.31296359130623,"Capuano (D MA-8)"
"Cardoza","Dennis","CA","18","D","M","C001050","20306",34,-0.326679514872485,-0.424049964890083,-0.234223666286493,"Cardoza (D CA-18)"
"Carnahan","Russ","MO","3","D","M","C001060","20516",15,-0.97278676578318,-1.11466887383801,-0.822414213088012,"Carnahan (D MO-3)"
"Carney","John","DE","1","D","M","C001083",NA,11,-0.625783390734853,-0.745646532546423,-0.519413489550974,"Carney (D DE-1)"
"Carson","André","IN","7","D","M","C001072",NA,15,-1.02191717727645,-1.17115844869103,-0.870347236299986,"Carson (D IN-7)"
"Carter","John","TX","31","R","M","C001051","20356",21,0.82449398333404,0.686260575803793,0.94949241355674,"Carter (R TX-31)"
"Cassidy","Bill","LA","6","R","M","C001075",NA,14,0.739363604197371,0.617524275316458,0.86447518845259,"Cassidy (R LA-6)"
"Castor","Kathy","FL","11","D","F","C001066","20708",47,-1.04780597244835,-1.20523274982412,-0.879885313415478,"Castor (D FL-11)"
"Chabot","Steven","OH","1","R","M","C000266","29550",4,1.24329244917083,1.06388114070722,1.42012102711666,"Chabot (R OH-1)"
"Chaffetz","Jason","UT","3","R","M","C001076",NA,39,1.09877698718651,0.933039383549612,1.25099415089382,"Chaffetz (R UT-3)"
"Chandler","Ben","KY","6","D","M","C001058","20326",24,-0.30200663195056,-0.398594691274237,-0.205804272725025,"Chandler (D KY-6)"
"Chu","Judy","CA","32","D","F","C001080",NA,15,-1.47900788156475,-1.69827971365055,-1.2442541755439,"Chu (D CA-32)"
"Cicilline","David","RI","1","D","M","C001084",NA,11,-1.26572603670028,-1.45777976901412,-1.06711712848574,"Cicilline (D RI-1)"
"Clarke","Hansen","MI","13","D","M","C001085",NA,11,-1.36182780456416,-1.57177768293788,-1.15694349390684,"Clarke (D MI-13)"
"Clarke","Yvette","NY","11","D","F","C001067","20733",25,-1.72096098520785,-2.00744512828857,-1.45652003678631,"Clarke (D NY-11)"
"Clay","William","MO","1","D","M","C001049","20147",31,-1.28835792801747,-1.49303505349613,-1.09106970271427,"Clay (D MO-1)"
"Cleaver II","Emanuel","MO","5","D","M","C001061","20517",24,-1.09928006963071,-1.25543521071683,-0.931678189214043,"Cleaver II (D MO-5)"
"Clyburn","James","SC","6","D","M","C000537","39301",13,-0.968946882397494,-1.12601640435515,-0.831352337836058,"Clyburn (D SC-6)"
"Coble","Howard","NC","6","R","M","C000556","15209",13,0.749246382682888,0.610191849249015,0.860273226987258,"Coble (R NC-6)"
"Coffman","Mike","CO","6","R","M","C001077",NA,9,0.868956024847068,0.742406813558683,1.00879873267009,"Coffman (R CO-6)"
"Cohen","Steve","TN","9","D","M","C001068","20748",28,-1.16922490717895,-1.3486597673214,-1.00732041780538,"Cohen (D TN-9)"
"Cole","Tom","OK","4","R","M","C001053","20344",15,0.630851829840284,0.509709932702815,0.744939258803927,"Cole (R OK-4)"
"Conaway","K.","TX","11","R","M","C001062","20531",4,1.18296280167021,1.00634070603463,1.34508803446647,"Conaway (R TX-11)"
"Connolly","Gerald","VA","11","D","M","C001078",NA,6,-0.704170248546365,-0.825151914341521,-0.592267406874435,"Connolly (D VA-11)"
"Conyers Jr.","John","MI","14","D","M","C000714","10713",31,-1.18680250020765,-1.36551635653706,-1.01488851198631,"Conyers Jr. (D MI-14)"
"Cooper","Jim","TN","5","D","M","C000754","15018",15,-0.402136031765348,-0.502658427759209,-0.302237803664092,"Cooper (D TN-5)"
"Costa","Jim","CA","20","D","M","C001059","20501",43,-0.189404150069704,-0.28347580491519,-0.0985898565869655,"Costa (D CA-20)"
"Costello","Jerry","IL","12","D","M","C000794","15452",25,-0.443477398290488,-0.546545250149895,-0.347349059608363,"Costello (D IL-12)"
"Courtney","Joe","CT","2","D","M","C001069","20706",9,-0.99605948400509,-1.14710305311305,-0.843823804225167,"Courtney (D CT-2)"
"Cravaack","Chip","MN","8","R","M","C001086",NA,9,0.690034932099992,0.5713872047681,0.816450543102599,"Cravaack (R MN-8)"
"Crawford","Rick","AR","1","R","M","C001087",NA,10,0.726107645241751,0.59026662808668,0.844919234162755,"Crawford (R AR-1)"
"Crenshaw","Ander","FL","4","R","M","C001045","20111",9,0.64474445867843,0.523957701337214,0.772134431167352,"Crenshaw (R FL-4)"
"Critz","Mark","PA","12","D","M","C001081",NA,8,-0.377278015580541,-0.469998262494038,-0.277199633707819,"Critz (D PA-12)"
"Crowley","Joseph","NY","7","D","M","C001038","29925",39,-1.28871688990631,-1.50600567801184,-1.1022864884298,"Crowley (D NY-7)"
"Cuellar","Henry","TX","28","D","M","C001063","20533",6,-0.317479516929751,-0.409306919631423,-0.221883323926618,"Cuellar (D TX-28)"
"Culberson","John","TX","7","R","M","C001048","20139",69,0.968093763416294,0.829020808613733,1.10768082925678,"Culberson (R TX-7)"
"Cummings","Elijah","MD","7","D","M","C000984","29587",9,-1.32812489695495,-1.51967107526716,-1.12894182804095,"Cummings (D MD-7)"
"Davis","Susan","CA","53","D","F","D000598","20108",12,-1.02952527153334,-1.18342761753917,-0.872494718279359,"Davis (D CA-53)"
"Davis","Danny","IL","7","D","M","D000096","29717",34,-1.26380196818136,-1.45821837787847,-1.07129041767099,"Davis (D IL-7)"
"Davis","Geoff","KY","4","R","M","D000603","20511",7,0.671759328236444,0.540188858588983,0.793694834039006,"Davis (R KY-4)"
"DeFazio","Peter","OR","4","D","M","D000191","15409",26,-0.79884301080837,-0.933413450836863,-0.677130515136827,"DeFazio (D OR-4)"
"DeGette","Diana","CO","1","D","F","D000197","29710",16,-1.2798717673371,-1.47993664044653,-1.08329543945193,"DeGette (D CO-1)"
"DeLauro","Rosa","CT","3","D","F","D000216","15813",11,-1.29421878054315,-1.4934216659114,-1.09884845691776,"DeLauro (D CT-3)"
"Denham","Jeffrey","CA","19","R","M","D000612",NA,21,0.799487885505924,0.664668028744659,0.925421930487,"Denham (R CA-19)"
"Dent","Charlie","PA","15","R","M","D000604","20526",7,0.394060072324956,0.290137310503859,0.497680546695395,"Dent (R PA-15)"
"DesJarlais","Scott","TN","4","R","M","D000616",NA,5,0.898338870807292,0.765386366697124,1.0351530339678,"DesJarlais (R TN-4)"
"Deutch","Ted","FL","19","D","M","D000610",NA,37,-1.23483764503749,-1.43412555789319,-1.04064799561746,"Deutch (D FL-19)"
"Diaz-Balart","Mario","FL","21","R","M","D000600","20316",21,0.465119897332106,0.350964619736886,0.576899242930823,"Diaz-Balart (R FL-21)"
"Dicks","Norman","WA","6","D","M","D000327","14413",14,-0.885422996101327,-1.02497800052977,-0.747649980937469,"Dicks (D WA-6)"
"Dingell","John","MI","15","D","M","D000355","2605",29,-0.886155653018847,-1.02306705651248,-0.749243970338555,"Dingell (D MI-15)"
"Doggett","Lloyd","TX","25","D","M","D000399","29571",19,-1.0543887586543,-1.22027499722459,-0.903377616604987,"Doggett (D TX-25)"
"Dold","Robert","IL","10","R","M","D000613",NA,16,0.332276332219471,0.229100100440187,0.435046636555605,"Dold (R IL-10)"
"Donnelly","Joe","IN","2","D","M","D000607","20717",4,-0.303296007953865,-0.404650161397835,-0.208477598501618,"Donnelly (D IN-2)"
"Doyle","Mike","PA","14","D","M","D000482","29561",20,-0.99424539904933,-1.14578198837443,-0.852555627650836,"Doyle (D PA-14)"
"Dreier","David","CA","26","R","M","D000492","14813",5,0.689480996625422,0.561721721953966,0.809144833111808,"Dreier (R CA-26)"
"Duffy","Sean","WI","7","R","M","D000614",NA,12,0.762887499261952,0.628785543292035,0.885815795674353,"Duffy (R WI-7)"
"Duncan","Jeffrey","SC","3","R","M","D000615",NA,10,1.3659614964845,1.16514660419368,1.57017101844774,"Duncan (R SC-3)"
"Duncan Jr.","John","TN","2","R","M","D000533","15604",7,0.82622357256996,0.703333670520314,0.960674247739242,"Duncan Jr. (R TN-2)"
"Edwards","Donna","MD","4","D","F","E000290",NA,11,-1.47915319202049,-1.7116305799853,-1.24997646241543,"Edwards (D MD-4)"
"Ellison","Keith","MN","5","D","M","E000288","20727",94,-1.81406184298218,-2.10936745260056,-1.5067431325088,"Ellison (D MN-5)"
"Ellmers","Renee","NC","2","R","F","E000291",NA,6,0.880987374014797,0.75438812976253,1.02054336210581,"Ellmers (R NC-2)"
"Emerson","Jo Ann","MO","8","R","F","E000172","29736",40,0.45671767674107,0.342832278656349,0.569233064837854,"Emerson (R MO-8)"
"Engel","Eliot","NY","17","D","M","E000179","15605",66,-1.0214884765609,-1.18074193311698,-0.875660329329932,"Engel (D NY-17)"
"Eshoo","Anna","CA","14","D","F","E000215","29312",57,-1.06120634858832,-1.219612844212,-0.892860856316799,"Eshoo (D CA-14)"
"Farenthold","Blake","TX","27","R","M","F000460",NA,15,0.909669541899084,0.775213968777984,1.04156583324215,"Farenthold (R TX-27)"
"Farr","Sam","CA","17","D","M","F000030","29313",16,-1.2613782047033,-1.44996356062427,-1.08442495198148,"Farr (D CA-17)"
"Fattah","Chaka","PA","2","D","M","F000043","29559",33,-1.0941866383601,-1.26051044336473,-0.939291166873644,"Fattah (D PA-2)"
"Filner","Bob","CA","51","D","M","F000116","29325",61,-2.24446542176109,-2.68650341005469,-1.87218181174216,"Filner (D CA-51)"
"Fincher","Stephen","TN","8","R","M","F000458",NA,7,0.902611324226964,0.770589314800436,1.03508402112605,"Fincher (R TN-8)"
"Fitzpatrick","Michael","PA","8","R","M","F000451","20524",12,0.29259781815913,0.196935569340241,0.396988629452702,"Fitzpatrick (R PA-8)"
"Flake","Jeff","AZ","6","R","M","F000444","20100",31,1.2123213124497,1.03460694671446,1.38337508053027,"Flake (R AZ-6)"
"Fleischmann","Chuck","TN","3","R","M","F000459",NA,4,0.915668860282366,0.769384277214642,1.046385031809,"Fleischmann (R TN-3)"
"Fleming","John","LA","4","R","M","F000456",NA,8,1.22396437275649,1.05041720063995,1.40132753159556,"Fleming (R LA-4)"
"Flores","Bill","TX","17","R","M","F000461",NA,13,1.08817411740832,0.92969604201528,1.23742711901191,"Flores (R TX-17)"
"Forbes","J.","VA","4","R","M","F000445","20143",9,0.671077204900244,0.542879361131314,0.787669195223296,"Forbes (R VA-4)"
"Fortenberry","Jeff","NE","1","R","M","F000449","20518",15,0.408837221414961,0.300910942135709,0.511502870754357,"Fortenberry (R NE-1)"
"Foxx","Virginia","NC","5","R","F","F000450","20521",6,1.16793038553972,1.00943227518966,1.33739581615078,"Foxx (R NC-5)"
"Frank","Barney","MA","4","D","M","F000339","14824",19,-1.14389317489309,-1.30861341898732,-0.985555141749166,"Frank (D MA-4)"
"Franks","Trent","AZ","2","R","M","F000448","20304",11,1.165029548829,1.00201360033752,1.32793513792021,"Franks (R AZ-2)"
"Frelinghuysen","Rodney","NJ","11","R","M","F000372","29541",116,0.490143287344012,0.373308596902525,0.616866666331037,"Frelinghuysen (R NJ-11)"
"Fudge","Marcia","OH","11","D","F","F000455",NA,10,-1.41391545563372,-1.63251471775709,-1.20178345598385,"Fudge (D OH-11)"
"Gallegly","Elton","CA","24","R","M","G000021","15412",14,0.780680544405646,0.655388911533208,0.908678645579966,"Gallegly (R CA-24)"
"Garamendi","John","CA","10","D","M","G000559",NA,34,-1.30431488958728,-1.51271862694758,-1.12340898530944,"Garamendi (D CA-10)"
"Gardner","Cory","CO","4","R","M","G000562",NA,6,0.791255384544143,0.656623950546054,0.918292875817292,"Gardner (R CO-4)"
"Garrett","Scott","NJ","5","R","M","G000548","20336",12,1.20611011402192,1.03377291286685,1.37992676198007,"Garrett (R NJ-5)"
"Gerlach","Jim","PA","6","R","M","G000549","20345",13,0.356034119104227,0.249298989550586,0.454122710016291,"Gerlach (R PA-6)"
