"last.name","first.name","state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label"
"Gibbs","Bob","OH","18","R","M","G000563",NA,6,0.855464597519391,0.7270049518846,0.990457112825052,"Gibbs (R OH-18)"
"Gibson","Chris","NY","20","R","M","G000564",NA,6,0.275448823740996,0.16763463996534,0.364213104038282,"Gibson (R NY-20)"
"Giffords","Gabrielle","AZ","8","D","F","G000554","20701",684,-1.050211472975,-2.01739130540915,-0.173451580015947,"Giffords (D AZ-8)"
"Gingrey","Phil","GA","11","R","M","G000550","20319",51,1.026735501701,0.882422778440597,1.17047680249928,"Gingrey (R GA-11)"
"Gohmert","Louie","TX","1","R","M","G000552","20527",53,0.868184034011501,0.741892541346801,1.00571466843043,"Gohmert (R TX-1)"
"Gonzalez","Charlie","TX","20","D","M","G000544","29943",19,-0.631223625685376,-0.746423804895455,-0.520004024685436,"Gonzalez (D TX-20)"
"Goodlatte","Robert","VA","6","R","M","G000289","39308",6,0.957820568994813,0.819729284037373,1.09075823156816,"Goodlatte (R VA-6)"
"Gosar","Paul","AZ","1","R","M","G000565",NA,8,0.792906965435058,0.666200684113442,0.922930086441315,"Gosar (R AZ-1)"
"Gowdy","Trey","SC","4","R","M","G000566",NA,5,1.47899432865523,1.24004322660103,1.70842216856405,"Gowdy (R SC-4)"
"Granger","Kay","TX","12","R","F","G000377","29762",21,0.717297514171336,0.58057529591517,0.834592903731444,"Granger (R TX-12)"
"Graves","Tom","GA","9","R","M","G000560",NA,8,1.4447052712588,1.22762923080322,1.66536460268972,"Graves (R GA-9)"
"Graves","Sam","MO","6","R","M","G000546","20124",39,0.802548964281775,0.671570910145731,0.932426476161961,"Graves (R MO-6)"
"Green","Gene","TX","29","D","M","G000410","39304",27,-0.385908697916728,-0.48757072356043,-0.289292134485395,"Green (D TX-29)"
"Green","Al","TX","9","D","M","G000553","20529",14,-0.662321043623978,-0.77108812481407,-0.541259282506247,"Green (D TX-9)"
"Griffin","Tim","AR","2","R","M","G000567",NA,6,0.838710606772909,0.704431318098876,0.968035929248571,"Griffin (R AR-2)"
"Griffith","Morgan","VA","9","R","M","G000568",NA,22,0.845333688203912,0.720746105533614,0.971850699394364,"Griffith (R VA-9)"
"Grijalva","Raúl","AZ","7","D","M","G000551","20305",40,-1.31804452584412,-1.51767972853021,-1.12339100626139,"Grijalva (D AZ-7)"
"Grimm","Mike","NY","13","R","M","G000569",NA,6,0.441833498746823,0.328339646701515,0.546193928529956,"Grimm (R NY-13)"
"Guinta","Frank","NH","1","R","M","G000570",NA,14,0.862858713546469,0.719654079202981,0.98907385680919,"Guinta (R NH-1)"
"Guthrie","Brett","KY","2","R","M","G000558",NA,7,0.724888928033113,0.594787041189541,0.850683127623528,"Guthrie (R KY-2)"
"Gutierrez","Luis","IL","4","D","M","G000535","29348",63,-1.2027954888248,-1.38220290860853,-1.01671793625575,"Gutierrez (D IL-4)"
"Hahn","Janice","CA","36","D","F","H001063",NA,603,-1.44619413657371,-2.00994733963955,-0.902235815045755,"Hahn (D CA-36)"
"Hall","Ralph","TX","4","R","M","H000067","14828",15,0.937746730082536,0.801557388326098,1.08284916009158,"Hall (R TX-4)"
"Hanabusa","Colleen","HI","1","D","F","H001050",NA,13,-1.12903246847603,-1.30376420844874,-0.958587412788068,"Hanabusa (D HI-1)"
"Hanna","Richard","NY","24","R","M","H001051",NA,31,0.295133838076945,0.198101764145846,0.400003181869384,"Hanna (R NY-24)"
"Harman","Jane","CA","36","D","F","H000213","29318",606,-0.808833248678956,-1.09043721453057,-0.552883569450873,"Harman (D CA-36)"
"Harper","Gregg","MS","3","R","M","H001045",NA,8,0.784582412448076,0.651957668737605,0.906736651050652,"Harper (R MS-3)"
"Harris","Andy","MD","1","R","M","H001052",NA,7,0.632637651566586,0.513333313426812,0.742589830174198,"Harris (R MD-1)"
"Hartzler","Vicky","MO","4","R","F","H001053",NA,6,0.976454056212615,0.82999868486825,1.11339736289255,"Hartzler (R MO-4)"
"Hastings","Alcee","FL","23","D","M","H000324","29337",8,-1.27343839628789,-1.45166770185504,-1.06594337501292,"Hastings (D FL-23)"
"Hastings","Doc","WA","4","R","M","H000329","29580",92,0.782552907099441,0.645751002013839,0.904921966298103,"Hastings (R WA-4)"
"Hayworth","Nan","NY","19","R","F","H001054",NA,7,0.510605912079394,0.39033010451549,0.61680501266761,"Hayworth (R NY-19)"
"Heck","Joe","NV","3","R","M","H001055",NA,4,0.503245942505027,0.391132460061815,0.622106042093912,"Heck (R NV-3)"
"Heinrich","Martin","NM","1","D","M","H001046",NA,24,-0.729536928269019,-0.851880455091071,-0.608293850245811,"Heinrich (D NM-1)"
"Heller","Dean","NV","2","R","M","H001041","20730",404,0.816137900796488,0.638952627900015,1.0270662392371,"Heller (R NV-2)"
"Hensarling","Jeb","TX","5","R","M","H001036","20352",6,1.40439583191717,1.18408247231611,1.61580066153401,"Hensarling (R TX-5)"
"Herger","Wally","CA","2","R","M","H000528","15419",18,1.21646455136205,1.03437911082292,1.38092216671235,"Herger (R CA-2)"
"Herrera Beutler","Jaime","WA","3","R","F","H001056",NA,11,0.613518050222573,0.487959088638885,0.732313783526797,"Herrera Beutler (R WA-3)"
"Higgins","Brian","NY","27","D","M","H001038","20519",15,-0.970222010539152,-1.12181336346133,-0.816421252540837,"Higgins (D NY-27)"
"Himes","Jim","CT","4","D","M","H001047",NA,8,-0.741521038877962,-0.861657238441388,-0.622174911865729,"Himes (D CT-4)"
"Hinchey","Maurice","NY","22","D","M","H000627","29380",212,-1.36136752453674,-1.58334998445303,-1.12215690885469,"Hinchey (D NY-22)"
"Hinojosa","Rubén","TX","15","D","M","H000636","29763",98,-0.609023899662629,-0.736341407768854,-0.501361735291067,"Hinojosa (D TX-15)"
"Hirono","Mazie","HI","2","D","F","H001042","20713",32,-1.48178279417938,-1.70841133177997,-1.25356449534385,"Hirono (D HI-2)"
"Hochul","Kathy","NY","26","D","F","H001062",NA,382,-0.624919575321691,-0.759727742380882,-0.486317059984887,"Hochul (D NY-26)"
"Holden","Tim","PA","17","D","M","H000712","29396",51,-0.286309920782016,-0.386416678648291,-0.194465979725783,"Holden (D PA-17)"
"Holt","Rush","NJ","12","D","M","H001032","29923",6,-1.35380665420023,-1.55985895369388,-1.160143852642,"Holt (D NJ-12)"
"Honda","Michael","CA","15","D","M","H001034","20103",29,-1.58397783488506,-1.83994692880519,-1.33475495854565,"Honda (D CA-15)"
"Hoyer","Steny","MD","5","D","M","H000874","14873",47,-1.02663519353445,-1.19364377804358,-0.880346414720141,"Hoyer (D MD-5)"
"Huelskamp","Tim","KS","1","R","M","H001057",NA,6,1.07836835878877,0.910938821722349,1.22234282045527,"Huelskamp (R KS-1)"
"Huizenga","Bill","MI","2","R","M","H001058",NA,8,1.14065745029725,0.98352532303215,1.30015063450705,"Huizenga (R MI-2)"
"Hultgren","Randy","IL","14","R","M","H001059",NA,7,0.804663076083263,0.670562351953725,0.932983532498449,"Hultgren (R IL-14)"
"Hunter","Duncan","CA","52","R","M","H001048",NA,13,1.11992143880212,0.962778869037871,1.28325355586597,"Hunter (R CA-52)"
"Hurt","Robert","VA","5","R","M","H001060",NA,17,1.09708866296652,0.934318138853571,1.25339289170423,"Hurt (R VA-5)"
"Inslee","Jay","WA","1","D","M","I000026","39311",7,-0.843184739075719,-0.978873261415065,-0.713991719074419,"Inslee (D WA-1)"
"Israel","Steve","NY","2","D","M","I000057","20129",10,-1.00286008898248,-1.15293100840654,-0.845315579113116,"Israel (D NY-2)"
"Issa","Darrell","CA","49","R","M","I000056","20107",12,1.02574461109062,0.878237118502179,1.17124776610058,"Issa (R CA-49)"
"Jackson Jr.","Jesse","IL","2","D","M","J000283","29585",56,-1.97666295765242,-2.34222360938278,-1.66200893392866,"Jackson Jr. (D IL-2)"
"Jackson-Lee","Sheila","TX","18","D","F","J000032","29573",27,-0.780449943948755,-0.902221126619158,-0.658413448654591,"Jackson-Lee (D TX-18)"
"Jenkins","Lynn","KS","2","R","F","J000290",NA,4,0.99096152567552,0.842295977701125,1.12640236981118,"Jenkins (R KS-2)"
"Johnson","Hank","GA","4","D","M","J000288","20712",35,-1.17121380902733,-1.35887142696018,-0.990901961428292,"Johnson (D GA-4)"
"Johnson","Eddie","TX","30","D","F","J000126","39305",17,-0.99657435722147,-1.14001700703145,-0.84439608842167,"Johnson (D TX-30)"
"Johnson","Timothy","IL","15","R","M","J000285","20116",27,0.355192336007061,0.253401391347355,0.456058334679616,"Johnson (R IL-15)"
"Johnson","Bill","OH","6","R","M","J000292",NA,6,0.917616300053674,0.772635755175018,1.04329747417567,"Johnson (R OH-6)"
"Johnson","Sam","TX","3","R","M","J000174","15843",60,1.23425461597834,1.06519278553188,1.4158483083257,"Johnson (R TX-3)"
"Jones","Walter","NC","3","R","M","J000255","29546",13,0.0979839007428505,0.00578488059839911,0.190423846782471,"Jones (R NC-3)"
"Jordan","Jim","OH","4","R","M","J000289","20738",23,1.52485961068425,1.2756149070115,1.77060693166579,"Jordan (R OH-4)"
"Kaptur","Marcy","OH","9","D","F","K000009","15028",17,-0.920302187866441,-1.06178723444907,-0.781534479663815,"Kaptur (D OH-9)"
"Keating","Bill","MA","10","D","M","K000375",NA,35,-0.969833584941535,-1.11031519844303,-0.816655160696225,"Keating (D MA-10)"
"Kelly","Mike","PA","3","R","M","K000376",NA,5,0.619401871275707,0.491081805539786,0.733370214848793,"Kelly (R PA-3)"
"Kildee","Dale","MI","5","D","M","K000172","14430",5,-1.00595331153355,-1.15627801425254,-0.864085621002341,"Kildee (D MI-5)"
"Kind","Ron","WI","3","D","M","K000188","29769",11,-0.796168213684328,-0.924595272272426,-0.671421447432799,"Kind (D WI-3)"
"King","Steve","IA","5","R","M","K000362","20325",33,0.834445650519998,0.704791252070186,0.964966174449009,"King (R IA-5)"
"King","Peter","NY","3","R","M","K000210","29375",12,0.459387117363437,0.348797888636455,0.570535061598635,"King (R NY-3)"
"Kingston","Jack","GA","1","R","M","K000220","29338",15,0.907094299461003,0.771512946681793,1.03529985069216,"Kingston (R GA-1)"
"Kinzinger","Adam","IL","11","R","M","K000378",NA,9,0.550397365572996,0.428658210485338,0.659822704414418,"Kinzinger (R IL-11)"
"Kissell","Larry","NC","8","D","M","K000369",NA,9,-0.396121023782496,-0.496170375355676,-0.302368278626424,"Kissell (D NC-8)"
"Kline","John","MN","2","R","M","K000363","20333",4,1.02540760553892,0.871028422945777,1.17158998949183,"Kline (R MN-2)"
"Kucinich","Dennis","OH","10","D","M","K000336","29748",9,-1.12503268344123,-1.29601088295064,-0.962203648145193,"Kucinich (D OH-10)"
"LaTourette","Steven","OH","14","R","M","L000553","29553",19,0.300475230782311,0.198308293273198,0.395954651172602,"LaTourette (R OH-14)"
"Labrador","Raul","ID","1","R","M","L000573",NA,25,1.02011200822322,0.875358473997172,1.17203859304547,"Labrador (R ID-1)"
"Lamborn","Doug","CO","5","R","M","L000564","20704",14,1.38419841408699,1.16779681497679,1.58952461292536,"Lamborn (R CO-5)"
"Lance","Leonard","NJ","7","R","M","L000567",NA,4,0.401550759732028,0.287724505086611,0.499104158651884,"Lance (R NJ-7)"
"Landry","Jeff","LA","3","R","M","L000574",NA,43,1.06778248064739,0.90908855135266,1.2166969718057,"Landry (R LA-3)"
"Langevin","Jim","RI","2","D","M","L000559","20136",18,-1.02130275710886,-1.18033652776624,-0.874045957770934,"Langevin (D RI-2)"
"Lankford","James","OK","5","R","M","L000575",NA,6,1.06075550310424,0.898505050023537,1.20023757947403,"Lankford (R OK-5)"
"Larsen","Rick","WA","2","D","M","L000560","20145",9,-0.77347737097393,-0.903090524828216,-0.651139509805322,"Larsen (D WA-2)"
"Larson","John","CT","1","D","M","L000557","29908",43,-1.15039151235544,-1.31526952486538,-0.980643657599,"Larson (D CT-1)"
"Latham","Tom","IA","4","R","M","L000111","29522",11,0.577723853458679,0.456479896501763,0.689379975750452,"Latham (R IA-4)"
"Latta","Robert","OH","5","R","M","L000566","99998",5,1.13559534612661,0.963502660308112,1.29033485429571,"Latta (R OH-5)"
"Lee","Barbara","CA","9","D","F","L000551","29778",26,-1.86965378572056,-2.17560032785797,-1.61174431137072,"Lee (D CA-9)"
"Lee","Christopher","NY","26","R","M","L000568",NA,668,1.10603871999103,0.210480117596012,2.39304465771644,"Lee (R NY-26)"
"Levin","Sander","MI","12","D","M","L000263","15032",5,-1.05184222889729,-1.21973796330458,-0.910072074118983,"Levin (D MI-12)"
"Lewis","John","GA","5","D","M","L000287","15430",24,-1.6077320143109,-1.86459458920497,-1.34362216395917,"Lewis (D GA-5)"
"Lewis","Jerry","CA","41","R","M","L000274","14644",7,0.619652867114736,0.498614364246945,0.739237229560951,"Lewis (R CA-41)"
"Lipinski","Daniel","IL","3","D","M","L000563","20508",16,-0.562380346829228,-0.678503135732384,-0.463438874456763,"Lipinski (D IL-3)"
"LoBiondo","Frank","NJ","2","R","M","L000554","29539",4,0.297702283961672,0.192095994656253,0.389011666970519,"LoBiondo (R NJ-2)"
"Loebsack","Dave","IA","2","D","M","L000565","20720",18,-0.836822765269248,-0.969921895455901,-0.709132231728649,"Loebsack (D IA-2)"
"Lofgren","Zoe","CA","16","D","F","L000397","29504",47,-1.06926725871541,-1.24089495079812,-0.925484252333491,"Lofgren (D CA-16)"
"Long","Billy","MO","7","R","M","L000576",NA,54,1.21621591342595,1.03607616069052,1.39787388170802,"Long (R MO-7)"
"Lowey","Nita","NY","18","D","F","L000480","15614",9,-1.09842554721901,-1.2619659400355,-0.9225390104961,"Lowey (D NY-18)"
"Lucas","Frank","OK","3","R","M","L000491","29393",20,0.697349352687322,0.570197755650021,0.82237090538497,"Lucas (R OK-3)"
"Luetkemeyer","Blaine","MO","9","R","M","L000569",NA,8,0.923487510516161,0.78677220622473,1.05889752237071,"Luetkemeyer (R MO-9)"
"Lujan","Ben","NM","3","D","M","L000570",NA,22,-1.04620232601288,-1.19936928050491,-0.875564229688342,"Lujan (D NM-3)"
"Lummis","Cynthia","WY","1","R","F","L000571",NA,30,0.884754264256501,0.746242227015569,1.00663702168434,"Lummis (R WY-1)"
"Lungren","Dan","CA","3","R","M","L000517","14647",9,0.753113493347622,0.619865378014309,0.869385162770754,"Lungren (R CA-3)"
"Lynch","Stephen","MA","9","D","M","L000562","20119",19,-1.0005488447113,-1.15445272811763,-0.852427826734999,"Lynch (D MA-9)"
"Mack","Connie","FL","14","R","M","M001155","20503",25,1.15505688296048,0.989482578552529,1.318080031196,"Mack (R FL-14)"
"Maloney","Carolyn","NY","14","D","F","M000087","29379",26,-1.31266709469476,-1.52383513430293,-1.11835484524299,"Maloney (D NY-14)"
"Manzullo","Donald","IL","16","R","M","M001138","29349",47,0.942232775475404,0.790320093393355,1.07369779388525,"Manzullo (R IL-16)"
"Marchant","Kenny","TX","24","R","M","M001158","20532",45,1.01775792240074,0.87900927063943,1.17105237348125,"Marchant (R TX-24)"
"Marino","Tom","PA","10","R","M","M001179",NA,7,0.801367648089753,0.669186267307288,0.934323743888873,"Marino (R PA-10)"
"Markey","Edward","MA","7","D","M","M000133","14435",24,-1.69057158638797,-1.93967038972392,-1.40560084722496,"Markey (D MA-7)"
"Matheson","Jim","UT","2","D","M","M001142","20140",9,-0.170177248494496,-0.263344379667364,-0.079219370415544,"Matheson (D UT-2)"
"Matsui","Doris","CA","5","D","F","M001163","20538",6,-1.3084915104544,-1.51069057659091,-1.11191602551831,"Matsui (D CA-5)"
"McCarthy","Carolyn","NY","4","D","F","M000309","29744",91,-0.816666294832496,-0.948587250738136,-0.686183652948383,"McCarthy (D NY-4)"
"McCarthy","Kevin","CA","22","R","M","M001165","20703",10,0.99161819052538,0.84524311935539,1.12675235041358,"McCarthy (R CA-22)"
"McCaul","Michael","TX","10","R","M","M001157","20530",8,0.796869148738241,0.658260169157617,0.919587484008467,"McCaul (R TX-10)"
"McClintock","Tom","CA","4","R","M","M001177",NA,5,0.893001359916708,0.762901265206191,1.02156960045734,"McClintock (R CA-4)"
"McCollum","Betty","MN","4","D","F","M001143","20122",71,-1.1488254928935,-1.32904413121345,-0.976756030274157,"McCollum (D MN-4)"
"McCotter","Thaddeus","MI","11","R","M","M001147","20332",56,0.58143828646105,0.445376977399791,0.693979072434714,"McCotter (R MI-11)"
"McDermott","Jim","WA","7","D","M","M000404","15616",31,-1.48900146038976,-1.74516709370625,-1.27248056342776,"McDermott (D WA-7)"
"McGovern","Jim","MA","3","D","M","M000312","29729",5,-1.6267894855764,-1.88968543854026,-1.36370698991953,"McGovern (D MA-3)"
"McHenry","Patrick","NC","10","R","M","M001156","20522",15,1.33263791975477,1.12825756030422,1.5197381243214,"McHenry (R NC-10)"
"McIntyre","Mike","NC","7","D","M","M000485","29746",24,-0.261781911051515,-0.354859386658548,-0.170768516650322,"McIntyre (D NC-7)"
"McKeon","Howard","CA","25","R","M","M000508","29315",8,0.708400149314761,0.591681053777735,0.835076926590663,"McKeon (R CA-25)"
"McKinley","David","WV","1","R","M","M001180",NA,13,0.50284807997771,0.373404319425708,0.603035057566886,"McKinley (R WV-1)"
"McMorris Rodgers","Cathy","WA","5","R","F","M001159","20535",18,0.845487464374578,0.709118996945256,0.975067652520765,"McMorris Rodgers (R WA-5)"
"McNerney","Jerry","CA","11","D","M","M001166","20702",9,-0.948909361333805,-1.09321619944503,-0.801315915879629,"McNerney (D CA-11)"
"Meehan","Pat","PA","7","R","M","M001181",NA,7,0.35274728262702,0.246106848859699,0.455119394372621,"Meehan (R PA-7)"
"Meeks","Gregory","NY","6","D","M","M001137","29776",79,-1.09267215817467,-1.27206320260676,-0.931019588685667,"Meeks (D NY-6)"
"Mica","John","FL","7","R","M","M000689","29331",6,0.962315310621387,0.81710278467915,1.10014656947496,"Mica (R FL-7)"
"Michaud","Michael","ME","2","D","M","M001149","20328",8,-0.77457178635901,-0.906583908574219,-0.654082772032535,"Michaud (D ME-2)"
"Miller","George","CA","7","D","M","M000725","14256",24,-1.34617885327628,-1.55080826918136,-1.14270041616698,"Miller (D CA-7)"
"Miller","Brad","NC","13","D","M","M001154","20341",10,-0.948190229639889,-1.08944060623987,-0.809605516932599,"Miller (D NC-13)"
"Miller","Gary","CA","42","R","M","M001139","29905",16,1.18638557604257,1.00626047814649,1.34569075410673,"Miller (R CA-42)"
"Miller","Jeff","FL","1","R","M","M001144","20110",6,1.26932802231992,1.0850502408861,1.4643516181156,"Miller (R FL-1)"
"Miller","Candice","MI","10","R","F","M001150","20331",4,0.667447380027239,0.545644841440735,0.783664082060471,"Miller (R MI-10)"
"Moore","Gwen","WI","4","D","F","M001160","20537",35,-1.40043859151113,-1.62868165431869,-1.18597516110458,"Moore (D WI-4)"
"Moran","James","VA","8","D","M","M000933","15826",23,-1.11634696832523,-1.27990748146683,-0.947249279460861,"Moran (D VA-8)"
"Mulvaney","Mick","SC","5","R","M","M001182",NA,11,1.15956411738216,0.994723847461475,1.31559750177908,"Mulvaney (R SC-5)"
"Murphy","Christopher","CT","5","D","M","M001169","20707",11,-0.842071433051841,-0.973937409209344,-0.710335860164291,"Murphy (D CT-5)"
"Murphy","Tim","PA","18","R","M","M001151","20346",9,0.648966325709647,0.523591601689249,0.762604638807601,"Murphy (R PA-18)"
"Myrick","Sue","NC","9","R","F","M001134","29549",48,0.931249242962727,0.781335138432358,1.07025336376615,"Myrick (R NC-9)"
"Nadler","Jerrold","NY","8","D","M","N000002","29377",31,-1.60692415148428,-1.86561043473051,-1.35331011538719,"Nadler (D NY-8)"
"Napolitano","Grace","CA","38","D","F","N000179","29903",27,-1.61462062541138,-1.89435810763854,-1.36431598470199,"Napolitano (D CA-38)"
"Neal","Richard","MA","2","D","M","N000015","15618",67,-1.42255028704648,-1.65101989816198,-1.21346936412341,"Neal (D MA-2)"
